seed,family,attentional_basis,modality,dimension,variant,position_mode,count_instruction,filter_instruction,text_input,count_prompt,filter_prompt,gold_count,gold_lines,target_definition,num_records,target_feature_count,target_count,active_fields,target_fields,irrelevant_noise_fields,same_color_wrong_shape_count,same_shape_wrong_color_count,same_core_wrong_marker_count,same_core_wrong_size_count,same_core_wrong_pattern_count,unrelated_count
2200,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | square | 1
yellow | triangle | 1
blue | triangle | 0
red | square | 1
red | triangle | 1
blue | square | 0
blue | square | 1
blue | square | 1
blue | triangle | 1
green | circle | 0
yellow | square | 0
blue | triangle | 1
yellow | triangle | 0
red | square | 0
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | circle | 1
red | triangle | 1
yellow | triangle | 0
blue | triangle | 1
green | triangle | 1
blue | triangle | 1
yellow | square | 0","Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

yellow | square | 1
yellow | triangle | 1
blue | triangle | 0
red | square | 1
red | triangle | 1
blue | square | 0
blue | square | 1
blue | square | 1
blue | triangle | 1
green | circle | 0
yellow | square | 0
blue | triangle | 1
yellow | triangle | 0
red | square | 0
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | circle | 1
red | triangle | 1
yellow | triangle | 0
blue | triangle | 1
green | triangle | 1
blue | triangle | 1
yellow | square | 0","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | square | 1
yellow | triangle | 1
blue | triangle | 0
red | square | 1
red | triangle | 1
blue | square | 0
blue | square | 1
blue | square | 1
blue | triangle | 1
green | circle | 0
yellow | square | 0
blue | triangle | 1
yellow | triangle | 0
red | square | 0
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | circle | 1
red | triangle | 1
yellow | triangle | 0
blue | triangle | 1
green | triangle | 1
blue | triangle | 1
yellow | square | 0",3,"[10, 17, 18]","{""color"": ""green"", ""shape"": ""circle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2201,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | triangle | 1
yellow | triangle | 0
blue | square | 0
green | square | 0
blue | triangle | 0
green | triangle | 0
red | circle | 0
red | triangle | 1
yellow | triangle | 0
red | circle | 0
green | circle | 0
green | triangle | 0
red | triangle | 0
blue | square | 1
green | triangle | 0
green | circle | 1
green | circle | 1
yellow | triangle | 0
red | circle | 1
green | circle | 0
green | triangle | 0
blue | square | 1
green | circle | 0
yellow | triangle | 0","Count the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

yellow | triangle | 1
yellow | triangle | 0
blue | square | 0
green | square | 0
blue | triangle | 0
green | triangle | 0
red | circle | 0
red | triangle | 1
yellow | triangle | 0
red | circle | 0
green | circle | 0
green | triangle | 0
red | triangle | 0
blue | square | 1
green | triangle | 0
green | circle | 1
green | circle | 1
yellow | triangle | 0
red | circle | 1
green | circle | 0
green | triangle | 0
blue | square | 1
green | circle | 0
yellow | triangle | 0","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | triangle | 1
yellow | triangle | 0
blue | square | 0
green | square | 0
blue | triangle | 0
green | triangle | 0
red | circle | 0
red | triangle | 1
yellow | triangle | 0
red | circle | 0
green | circle | 0
green | triangle | 0
red | triangle | 0
blue | square | 1
green | triangle | 0
green | circle | 1
green | circle | 1
yellow | triangle | 0
red | circle | 1
green | circle | 0
green | triangle | 0
blue | square | 1
green | circle | 0
yellow | triangle | 0",3,"[3, 14, 22]","{""color"": ""blue"", ""shape"": ""square""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2202,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | square | 0
green | triangle | 0
green | square | 1
yellow | circle | 1
yellow | triangle | 0
blue | square | 0
green | triangle | 0
green | square | 0
red | circle | 1
yellow | triangle | 1
yellow | triangle | 1
green | triangle | 0
green | triangle | 1
red | circle | 0
yellow | triangle | 1
blue | triangle | 1
red | circle | 1
yellow | triangle | 1
blue | triangle | 1
yellow | triangle | 1
blue | square | 1
yellow | triangle | 0
red | square | 1
green | triangle | 0","Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

yellow | square | 0
green | triangle | 0
green | square | 1
yellow | circle | 1
yellow | triangle | 0
blue | square | 0
green | triangle | 0
green | square | 0
red | circle | 1
yellow | triangle | 1
yellow | triangle | 1
green | triangle | 0
green | triangle | 1
red | circle | 0
yellow | triangle | 1
blue | triangle | 1
red | circle | 1
yellow | triangle | 1
blue | triangle | 1
yellow | triangle | 1
blue | square | 1
yellow | triangle | 0
red | square | 1
green | triangle | 0","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | square | 0
green | triangle | 0
green | square | 1
yellow | circle | 1
yellow | triangle | 0
blue | square | 0
green | triangle | 0
green | square | 0
red | circle | 1
yellow | triangle | 1
yellow | triangle | 1
green | triangle | 0
green | triangle | 1
red | circle | 0
yellow | triangle | 1
blue | triangle | 1
red | circle | 1
yellow | triangle | 1
blue | triangle | 1
yellow | triangle | 1
blue | square | 1
yellow | triangle | 0
red | square | 1
green | triangle | 0",3,"[9, 14, 17]","{""color"": ""red"", ""shape"": ""circle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2203,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | square | 0
yellow | square | 1
red | triangle | 1
red | square | 1
blue | square | 0
red | square | 1
red | square | 0
blue | circle | 1
blue | circle | 0
blue | square | 0
green | triangle | 0
red | square | 1
green | triangle | 0
blue | square | 0
yellow | circle | 1
blue | circle | 1
green | square | 1
blue | square | 1
blue | square | 1
red | square | 0
blue | square | 1
red | circle | 0
yellow | circle | 1
green | triangle | 1","Count the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

yellow | square | 0
yellow | square | 1
red | triangle | 1
red | square | 1
blue | square | 0
red | square | 1
red | square | 0
blue | circle | 1
blue | circle | 0
blue | square | 0
green | triangle | 0
red | square | 1
green | triangle | 0
blue | square | 0
yellow | circle | 1
blue | circle | 1
green | square | 1
blue | square | 1
blue | square | 1
red | square | 0
blue | square | 1
red | circle | 0
yellow | circle | 1
green | triangle | 1","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | square | 0
yellow | square | 1
red | triangle | 1
red | square | 1
blue | square | 0
red | square | 1
red | square | 0
blue | circle | 1
blue | circle | 0
blue | square | 0
green | triangle | 0
red | square | 1
green | triangle | 0
blue | square | 0
yellow | circle | 1
blue | circle | 1
green | square | 1
blue | square | 1
blue | square | 1
red | square | 0
blue | square | 1
red | circle | 0
yellow | circle | 1
green | triangle | 1",3,"[11, 13, 24]","{""color"": ""green"", ""shape"": ""triangle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2204,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | square | 0
green | square | 1
red | circle | 0
blue | triangle | 1
yellow | circle | 1
yellow | square | 1
yellow | square | 1
yellow | triangle | 1
yellow | square | 1
green | square | 0
yellow | square | 1
yellow | square | 1
green | triangle | 0
yellow | triangle | 1
red | circle | 1
green | square | 1
blue | triangle | 0
red | circle | 1
green | triangle | 0
blue | square | 1
blue | square | 1
green | triangle | 0
yellow | triangle | 1
red | square | 0","Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

yellow | square | 0
green | square | 1
red | circle | 0
blue | triangle | 1
yellow | circle | 1
yellow | square | 1
yellow | square | 1
yellow | triangle | 1
yellow | square | 1
green | square | 0
yellow | square | 1
yellow | square | 1
green | triangle | 0
yellow | triangle | 1
red | circle | 1
green | square | 1
blue | triangle | 0
red | circle | 1
green | triangle | 0
blue | square | 1
blue | square | 1
green | triangle | 0
yellow | triangle | 1
red | square | 0","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | square | 0
green | square | 1
red | circle | 0
blue | triangle | 1
yellow | circle | 1
yellow | square | 1
yellow | square | 1
yellow | triangle | 1
yellow | square | 1
green | square | 0
yellow | square | 1
yellow | square | 1
green | triangle | 0
yellow | triangle | 1
red | circle | 1
green | square | 1
blue | triangle | 0
red | circle | 1
green | triangle | 0
blue | square | 1
blue | square | 1
green | triangle | 0
yellow | triangle | 1
red | square | 0",3,"[3, 15, 18]","{""color"": ""red"", ""shape"": ""circle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2205,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | circle | 1
blue | circle | 1
green | square | 1
red | triangle | 0
blue | square | 0
red | circle | 1
blue | square | 0
yellow | circle | 0
blue | square | 0
green | circle | 1
yellow | triangle | 1
yellow | circle | 1
yellow | square | 0
yellow | circle | 0
yellow | square | 0
red | triangle | 1
green | square | 0
yellow | circle | 1
green | square | 1
red | triangle | 0
blue | circle | 1
green | square | 1
green | circle | 0
blue | square | 1","Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

green | circle | 1
blue | circle | 1
green | square | 1
red | triangle | 0
blue | square | 0
red | circle | 1
blue | square | 0
yellow | circle | 0
blue | square | 0
green | circle | 1
yellow | triangle | 1
yellow | circle | 1
yellow | square | 0
yellow | circle | 0
yellow | square | 0
red | triangle | 1
green | square | 0
yellow | circle | 1
green | square | 1
red | triangle | 0
blue | circle | 1
green | square | 1
green | circle | 0
blue | square | 1","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | circle | 1
blue | circle | 1
green | square | 1
red | triangle | 0
blue | square | 0
red | circle | 1
blue | square | 0
yellow | circle | 0
blue | square | 0
green | circle | 1
yellow | triangle | 1
yellow | circle | 1
yellow | square | 0
yellow | circle | 0
yellow | square | 0
red | triangle | 1
green | square | 0
yellow | circle | 1
green | square | 1
red | triangle | 0
blue | circle | 1
green | square | 1
green | circle | 0
blue | square | 1",3,"[4, 16, 20]","{""color"": ""red"", ""shape"": ""triangle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2206,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=yellow, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | square | 1
blue | square | 0
green | circle | 1
red | triangle | 1
yellow | square | 0
red | square | 1
blue | square | 1
blue | circle | 0
blue | circle | 0
green | square | 1
red | square | 1
red | square | 0
yellow | triangle | 1
red | circle | 0
yellow | triangle | 1
green | square | 1
blue | square | 1
green | square | 1
blue | square | 1
red | circle | 0
yellow | triangle | 1
blue | square | 1
blue | circle | 1
red | circle | 0","Count the entries matching all of the following attributes: color=yellow, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

green | square | 1
blue | square | 0
green | circle | 1
red | triangle | 1
yellow | square | 0
red | square | 1
blue | square | 1
blue | circle | 0
blue | circle | 0
green | square | 1
red | square | 1
red | square | 0
yellow | triangle | 1
red | circle | 0
yellow | triangle | 1
green | square | 1
blue | square | 1
green | square | 1
blue | square | 1
red | circle | 0
yellow | triangle | 1
blue | square | 1
blue | circle | 1
red | circle | 0","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | square | 1
blue | square | 0
green | circle | 1
red | triangle | 1
yellow | square | 0
red | square | 1
blue | square | 1
blue | circle | 0
blue | circle | 0
green | square | 1
red | square | 1
red | square | 0
yellow | triangle | 1
red | circle | 0
yellow | triangle | 1
green | square | 1
blue | square | 1
green | square | 1
blue | square | 1
red | circle | 0
yellow | triangle | 1
blue | square | 1
blue | circle | 1
red | circle | 0",3,"[13, 15, 21]","{""color"": ""yellow"", ""shape"": ""triangle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2207,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | circle | 0
blue | triangle | 1
blue | circle | 0
red | triangle | 1
yellow | circle | 1
red | circle | 1
yellow | triangle | 1
red | circle | 1
red | triangle | 0
red | circle | 1
red | circle | 1
green | square | 0
blue | circle | 0
red | triangle | 0
green | circle | 0
yellow | square | 1
red | triangle | 1
green | square | 1
green | square | 0
blue | circle | 1
red | circle | 0
yellow | triangle | 0
red | triangle | 1
blue | triangle | 1","Count the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

blue | circle | 0
blue | triangle | 1
blue | circle | 0
red | triangle | 1
yellow | circle | 1
red | circle | 1
yellow | triangle | 1
red | circle | 1
red | triangle | 0
red | circle | 1
red | circle | 1
green | square | 0
blue | circle | 0
red | triangle | 0
green | circle | 0
yellow | square | 1
red | triangle | 1
green | square | 1
green | square | 0
blue | circle | 1
red | circle | 0
yellow | triangle | 0
red | triangle | 1
blue | triangle | 1","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 0
blue | triangle | 1
blue | circle | 0
red | triangle | 1
yellow | circle | 1
red | circle | 1
yellow | triangle | 1
red | circle | 1
red | triangle | 0
red | circle | 1
red | circle | 1
green | square | 0
blue | circle | 0
red | triangle | 0
green | circle | 0
yellow | square | 1
red | triangle | 1
green | square | 1
green | square | 0
blue | circle | 1
red | circle | 0
yellow | triangle | 0
red | triangle | 1
blue | triangle | 1",3,"[12, 18, 19]","{""color"": ""green"", ""shape"": ""square""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2208,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | square | 1
yellow | triangle | 1
yellow | triangle | 0
green | triangle | 0
blue | square | 1
blue | square | 1
blue | triangle | 0
green | triangle | 1
red | square | 0
yellow | triangle | 0
green | triangle | 0
blue | square | 0
yellow | square | 1
yellow | square | 1
red | circle | 0
green | square | 0
red | circle | 0
yellow | circle | 0
yellow | square | 1
green | triangle | 0
red | circle | 0
green | triangle | 1
blue | square | 1
blue | triangle | 0","Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

blue | square | 1
yellow | triangle | 1
yellow | triangle | 0
green | triangle | 0
blue | square | 1
blue | square | 1
blue | triangle | 0
green | triangle | 1
red | square | 0
yellow | triangle | 0
green | triangle | 0
blue | square | 0
yellow | square | 1
yellow | square | 1
red | circle | 0
green | square | 0
red | circle | 0
yellow | circle | 0
yellow | square | 1
green | triangle | 0
red | circle | 0
green | triangle | 1
blue | square | 1
blue | triangle | 0","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | square | 1
yellow | triangle | 1
yellow | triangle | 0
green | triangle | 0
blue | square | 1
blue | square | 1
blue | triangle | 0
green | triangle | 1
red | square | 0
yellow | triangle | 0
green | triangle | 0
blue | square | 0
yellow | square | 1
yellow | square | 1
red | circle | 0
green | square | 0
red | circle | 0
yellow | circle | 0
yellow | square | 1
green | triangle | 0
red | circle | 0
green | triangle | 1
blue | square | 1
blue | triangle | 0",3,"[15, 17, 21]","{""color"": ""red"", ""shape"": ""circle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
2209,selective_attention,feature_sensitive,text,set_size,m,random,"Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | circle | 1
green | square | 1
blue | square | 0
blue | circle | 0
red | triangle | 1
green | triangle | 1
blue | circle | 0
blue | circle | 1
green | circle | 1
yellow | circle | 0
red | triangle | 1
blue | square | 1
green | square | 1
yellow | circle | 0
red | circle | 0
yellow | square | 0
green | square | 0
green | circle | 0
yellow | square | 1
yellow | square | 0
yellow | square | 1
green | square | 1
red | triangle | 1
green | square | 1","Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

blue | circle | 1
green | square | 1
blue | square | 0
blue | circle | 0
red | triangle | 1
green | triangle | 1
blue | circle | 0
blue | circle | 1
green | circle | 1
yellow | circle | 0
red | triangle | 1
blue | square | 1
green | square | 1
yellow | circle | 0
red | circle | 0
yellow | square | 0
green | square | 0
green | circle | 0
yellow | square | 1
yellow | square | 0
yellow | square | 1
green | square | 1
red | triangle | 1
green | square | 1","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 1
green | square | 1
blue | square | 0
blue | circle | 0
red | triangle | 1
green | triangle | 1
blue | circle | 0
blue | circle | 1
green | circle | 1
yellow | circle | 0
red | triangle | 1
blue | square | 1
green | square | 1
yellow | circle | 0
red | circle | 0
yellow | square | 0
green | square | 0
green | circle | 0
yellow | square | 1
yellow | square | 0
yellow | square | 1
green | square | 1
red | triangle | 1
green | square | 1",3,"[5, 11, 23]","{""color"": ""red"", ""shape"": ""triangle""}",24,2,3,"[""color"", ""shape"", ""marker""]","[""color"", ""shape""]","[""marker""]",1,1,0,0,0,19
