seed,family,attentional_basis,modality,dimension,variant,position_mode,count_instruction,filter_instruction,text_input,count_prompt,filter_prompt,gold_count,gold_lines,target_definition,num_records,target_feature_count,target_count,active_fields,target_fields,irrelevant_noise_fields,same_color_wrong_shape_count,same_shape_wrong_color_count,same_core_wrong_marker_count,same_core_wrong_size_count,same_core_wrong_pattern_count,unrelated_count
6100,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | triangle | 0 | medium
red | triangle | 0 | medium
yellow | triangle | 0 | small
red | circle | 1 | large
green | square | 0 | large
green | triangle | 1 | small
green | triangle | 1 | large
yellow | triangle | 0 | large
blue | triangle | 1 | small
yellow | circle | 0 | large
yellow | circle | 0 | small
green | circle | 1 | large
yellow | circle | 0 | medium
blue | square | 1 | large
yellow | circle | 0 | large
red | circle | 1 | large
green | square | 0 | large
yellow | triangle | 1 | small
yellow | circle | 1 | medium
red | square | 1 | medium","Count the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

green | triangle | 0 | medium
red | triangle | 0 | medium
yellow | triangle | 0 | small
red | circle | 1 | large
green | square | 0 | large
green | triangle | 1 | small
green | triangle | 1 | large
yellow | triangle | 0 | large
blue | triangle | 1 | small
yellow | circle | 0 | large
yellow | circle | 0 | small
green | circle | 1 | large
yellow | circle | 0 | medium
blue | square | 1 | large
yellow | circle | 0 | large
red | circle | 1 | large
green | square | 0 | large
yellow | triangle | 1 | small
yellow | circle | 1 | medium
red | square | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | triangle | 0 | medium
red | triangle | 0 | medium
yellow | triangle | 0 | small
red | circle | 1 | large
green | square | 0 | large
green | triangle | 1 | small
green | triangle | 1 | large
yellow | triangle | 0 | large
blue | triangle | 1 | small
yellow | circle | 0 | large
yellow | circle | 0 | small
green | circle | 1 | large
yellow | circle | 0 | medium
blue | square | 1 | large
yellow | circle | 0 | large
red | circle | 1 | large
green | square | 0 | large
yellow | triangle | 1 | small
yellow | circle | 1 | medium
red | square | 1 | medium",5,"[10, 11, 13, 15, 19]","{""color"": ""yellow"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6101,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | square | 1 | medium
yellow | circle | 0 | medium
blue | triangle | 0 | medium
green | triangle | 1 | small
yellow | square | 1 | medium
blue | triangle | 0 | large
yellow | circle | 0 | large
red | triangle | 1 | medium
yellow | square | 1 | small
blue | triangle | 0 | large
yellow | circle | 0 | large
red | circle | 0 | small
yellow | circle | 1 | small
red | circle | 0 | medium
blue | triangle | 0 | large
blue | triangle | 1 | medium
blue | circle | 1 | large
red | triangle | 1 | small
yellow | circle | 1 | small
yellow | triangle | 0 | small","Count the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

blue | square | 1 | medium
yellow | circle | 0 | medium
blue | triangle | 0 | medium
green | triangle | 1 | small
yellow | square | 1 | medium
blue | triangle | 0 | large
yellow | circle | 0 | large
red | triangle | 1 | medium
yellow | square | 1 | small
blue | triangle | 0 | large
yellow | circle | 0 | large
red | circle | 0 | small
yellow | circle | 1 | small
red | circle | 0 | medium
blue | triangle | 0 | large
blue | triangle | 1 | medium
blue | circle | 1 | large
red | triangle | 1 | small
yellow | circle | 1 | small
yellow | triangle | 0 | small","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | square | 1 | medium
yellow | circle | 0 | medium
blue | triangle | 0 | medium
green | triangle | 1 | small
yellow | square | 1 | medium
blue | triangle | 0 | large
yellow | circle | 0 | large
red | triangle | 1 | medium
yellow | square | 1 | small
blue | triangle | 0 | large
yellow | circle | 0 | large
red | circle | 0 | small
yellow | circle | 1 | small
red | circle | 0 | medium
blue | triangle | 0 | large
blue | triangle | 1 | medium
blue | circle | 1 | large
red | triangle | 1 | small
yellow | circle | 1 | small
yellow | triangle | 0 | small",5,"[2, 7, 11, 13, 19]","{""color"": ""yellow"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6102,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | triangle | 0 | small
green | circle | 1 | large
green | circle | 1 | large
green | circle | 1 | small
yellow | square | 0 | small
blue | circle | 0 | small
red | square | 0 | large
green | triangle | 1 | small
yellow | circle | 0 | large
blue | triangle | 0 | small
green | triangle | 0 | medium
yellow | triangle | 1 | large
red | triangle | 0 | large
green | square | 0 | medium
green | circle | 1 | small
green | circle | 1 | large
yellow | triangle | 1 | large
red | square | 1 | large
blue | circle | 1 | medium
yellow | square | 0 | medium","Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

yellow | triangle | 0 | small
green | circle | 1 | large
green | circle | 1 | large
green | circle | 1 | small
yellow | square | 0 | small
blue | circle | 0 | small
red | square | 0 | large
green | triangle | 1 | small
yellow | circle | 0 | large
blue | triangle | 0 | small
green | triangle | 0 | medium
yellow | triangle | 1 | large
red | triangle | 0 | large
green | square | 0 | medium
green | circle | 1 | small
green | circle | 1 | large
yellow | triangle | 1 | large
red | square | 1 | large
blue | circle | 1 | medium
yellow | square | 0 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | triangle | 0 | small
green | circle | 1 | large
green | circle | 1 | large
green | circle | 1 | small
yellow | square | 0 | small
blue | circle | 0 | small
red | square | 0 | large
green | triangle | 1 | small
yellow | circle | 0 | large
blue | triangle | 0 | small
green | triangle | 0 | medium
yellow | triangle | 1 | large
red | triangle | 0 | large
green | square | 0 | medium
green | circle | 1 | small
green | circle | 1 | large
yellow | triangle | 1 | large
red | square | 1 | large
blue | circle | 1 | medium
yellow | square | 0 | medium",5,"[2, 3, 4, 15, 16]","{""color"": ""green"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6103,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | triangle | 1 | medium
yellow | triangle | 0 | medium
green | triangle | 0 | small
green | circle | 1 | small
green | triangle | 1 | small
yellow | triangle | 0 | small
blue | triangle | 1 | small
yellow | triangle | 1 | medium
yellow | circle | 1 | large
yellow | circle | 1 | small
green | circle | 0 | medium
yellow | circle | 1 | medium
green | triangle | 0 | large
red | square | 1 | medium
red | triangle | 1 | small
red | triangle | 0 | small
yellow | circle | 1 | small
yellow | circle | 0 | large
blue | square | 0 | medium
red | circle | 1 | small","Count the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

green | triangle | 1 | medium
yellow | triangle | 0 | medium
green | triangle | 0 | small
green | circle | 1 | small
green | triangle | 1 | small
yellow | triangle | 0 | small
blue | triangle | 1 | small
yellow | triangle | 1 | medium
yellow | circle | 1 | large
yellow | circle | 1 | small
green | circle | 0 | medium
yellow | circle | 1 | medium
green | triangle | 0 | large
red | square | 1 | medium
red | triangle | 1 | small
red | triangle | 0 | small
yellow | circle | 1 | small
yellow | circle | 0 | large
blue | square | 0 | medium
red | circle | 1 | small","Return the line numbers (1-based) of the entries matching all of the following attributes: color=yellow, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | triangle | 1 | medium
yellow | triangle | 0 | medium
green | triangle | 0 | small
green | circle | 1 | small
green | triangle | 1 | small
yellow | triangle | 0 | small
blue | triangle | 1 | small
yellow | triangle | 1 | medium
yellow | circle | 1 | large
yellow | circle | 1 | small
green | circle | 0 | medium
yellow | circle | 1 | medium
green | triangle | 0 | large
red | square | 1 | medium
red | triangle | 1 | small
red | triangle | 0 | small
yellow | circle | 1 | small
yellow | circle | 0 | large
blue | square | 0 | medium
red | circle | 1 | small",5,"[9, 10, 12, 17, 18]","{""color"": ""yellow"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6104,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=red, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","red | square | 0 | large
green | circle | 0 | small
yellow | triangle | 0 | large
yellow | square | 1 | large
red | square | 0 | large
red | circle | 0 | medium
green | square | 0 | large
green | circle | 1 | large
green | square | 0 | medium
green | circle | 0 | large
red | triangle | 0 | medium
blue | triangle | 1 | small
blue | triangle | 1 | large
red | square | 0 | large
green | circle | 1 | small
blue | circle | 0 | large
red | square | 1 | medium
yellow | circle | 1 | medium
red | square | 0 | small
red | circle | 1 | large","Count the entries matching all of the following attributes: color=red, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

red | square | 0 | large
green | circle | 0 | small
yellow | triangle | 0 | large
yellow | square | 1 | large
red | square | 0 | large
red | circle | 0 | medium
green | square | 0 | large
green | circle | 1 | large
green | square | 0 | medium
green | circle | 0 | large
red | triangle | 0 | medium
blue | triangle | 1 | small
blue | triangle | 1 | large
red | square | 0 | large
green | circle | 1 | small
blue | circle | 0 | large
red | square | 1 | medium
yellow | circle | 1 | medium
red | square | 0 | small
red | circle | 1 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | square | 0 | large
green | circle | 0 | small
yellow | triangle | 0 | large
yellow | square | 1 | large
red | square | 0 | large
red | circle | 0 | medium
green | square | 0 | large
green | circle | 1 | large
green | square | 0 | medium
green | circle | 0 | large
red | triangle | 0 | medium
blue | triangle | 1 | small
blue | triangle | 1 | large
red | square | 0 | large
green | circle | 1 | small
blue | circle | 0 | large
red | square | 1 | medium
yellow | circle | 1 | medium
red | square | 0 | small
red | circle | 1 | large",5,"[1, 5, 14, 17, 19]","{""color"": ""red"", ""shape"": ""square""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6105,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","red | circle | 1 | small
green | square | 0 | small
blue | square | 1 | large
yellow | square | 1 | medium
blue | triangle | 1 | small
green | triangle | 1 | medium
red | circle | 0 | large
red | circle | 0 | medium
red | square | 0 | small
green | circle | 1 | small
blue | triangle | 1 | small
red | triangle | 1 | medium
green | square | 1 | small
blue | square | 1 | small
red | circle | 1 | medium
red | circle | 0 | medium
yellow | circle | 1 | large
yellow | triangle | 1 | large
green | circle | 1 | medium
red | triangle | 0 | medium","Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

red | circle | 1 | small
green | square | 0 | small
blue | square | 1 | large
yellow | square | 1 | medium
blue | triangle | 1 | small
green | triangle | 1 | medium
red | circle | 0 | large
red | circle | 0 | medium
red | square | 0 | small
green | circle | 1 | small
blue | triangle | 1 | small
red | triangle | 1 | medium
green | square | 1 | small
blue | square | 1 | small
red | circle | 1 | medium
red | circle | 0 | medium
yellow | circle | 1 | large
yellow | triangle | 1 | large
green | circle | 1 | medium
red | triangle | 0 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | circle | 1 | small
green | square | 0 | small
blue | square | 1 | large
yellow | square | 1 | medium
blue | triangle | 1 | small
green | triangle | 1 | medium
red | circle | 0 | large
red | circle | 0 | medium
red | square | 0 | small
green | circle | 1 | small
blue | triangle | 1 | small
red | triangle | 1 | medium
green | square | 1 | small
blue | square | 1 | small
red | circle | 1 | medium
red | circle | 0 | medium
yellow | circle | 1 | large
yellow | triangle | 1 | large
green | circle | 1 | medium
red | triangle | 0 | medium",5,"[1, 7, 8, 15, 16]","{""color"": ""red"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6106,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","red | square | 1 | medium
blue | square | 0 | small
green | triangle | 1 | medium
blue | circle | 1 | small
yellow | square | 1 | large
blue | triangle | 1 | small
green | circle | 1 | large
blue | circle | 1 | small
green | circle | 1 | medium
blue | circle | 1 | small
red | triangle | 1 | small
green | square | 0 | large
blue | circle | 0 | small
blue | circle | 1 | small
yellow | triangle | 0 | medium
blue | triangle | 1 | large
green | square | 1 | small
green | triangle | 0 | small
yellow | triangle | 1 | medium
yellow | circle | 0 | large","Count the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

red | square | 1 | medium
blue | square | 0 | small
green | triangle | 1 | medium
blue | circle | 1 | small
yellow | square | 1 | large
blue | triangle | 1 | small
green | circle | 1 | large
blue | circle | 1 | small
green | circle | 1 | medium
blue | circle | 1 | small
red | triangle | 1 | small
green | square | 0 | large
blue | circle | 0 | small
blue | circle | 1 | small
yellow | triangle | 0 | medium
blue | triangle | 1 | large
green | square | 1 | small
green | triangle | 0 | small
yellow | triangle | 1 | medium
yellow | circle | 0 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | square | 1 | medium
blue | square | 0 | small
green | triangle | 1 | medium
blue | circle | 1 | small
yellow | square | 1 | large
blue | triangle | 1 | small
green | circle | 1 | large
blue | circle | 1 | small
green | circle | 1 | medium
blue | circle | 1 | small
red | triangle | 1 | small
green | square | 0 | large
blue | circle | 0 | small
blue | circle | 1 | small
yellow | triangle | 0 | medium
blue | triangle | 1 | large
green | square | 1 | small
green | triangle | 0 | small
yellow | triangle | 1 | medium
yellow | circle | 0 | large",5,"[4, 8, 10, 13, 14]","{""color"": ""blue"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6107,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | square | 0 | medium
green | circle | 1 | medium
red | square | 0 | small
red | circle | 0 | small
blue | circle | 0 | small
green | triangle | 1 | small
blue | triangle | 0 | small
green | circle | 1 | small
green | circle | 1 | medium
green | triangle | 0 | small
yellow | circle | 1 | medium
green | circle | 1 | small
green | circle | 0 | medium
red | triangle | 1 | small
red | square | 0 | small
yellow | square | 1 | small
yellow | triangle | 1 | medium
blue | square | 0 | medium
red | square | 1 | large
yellow | triangle | 1 | medium","Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

green | square | 0 | medium
green | circle | 1 | medium
red | square | 0 | small
red | circle | 0 | small
blue | circle | 0 | small
green | triangle | 1 | small
blue | triangle | 0 | small
green | circle | 1 | small
green | circle | 1 | medium
green | triangle | 0 | small
yellow | circle | 1 | medium
green | circle | 1 | small
green | circle | 0 | medium
red | triangle | 1 | small
red | square | 0 | small
yellow | square | 1 | small
yellow | triangle | 1 | medium
blue | square | 0 | medium
red | square | 1 | large
yellow | triangle | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | square | 0 | medium
green | circle | 1 | medium
red | square | 0 | small
red | circle | 0 | small
blue | circle | 0 | small
green | triangle | 1 | small
blue | triangle | 0 | small
green | circle | 1 | small
green | circle | 1 | medium
green | triangle | 0 | small
yellow | circle | 1 | medium
green | circle | 1 | small
green | circle | 0 | medium
red | triangle | 1 | small
red | square | 0 | small
yellow | square | 1 | small
yellow | triangle | 1 | medium
blue | square | 0 | medium
red | square | 1 | large
yellow | triangle | 1 | medium",5,"[2, 8, 9, 12, 13]","{""color"": ""green"", ""shape"": ""circle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6108,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | square | 0 | large
green | square | 1 | small
red | square | 1 | large
red | triangle | 1 | medium
red | triangle | 0 | medium
red | circle | 0 | large
green | circle | 1 | small
blue | square | 0 | large
green | square | 0 | large
yellow | circle | 1 | small
yellow | circle | 1 | small
yellow | triangle | 0 | small
red | triangle | 1 | small
red | circle | 0 | medium
red | triangle | 0 | small
blue | square | 1 | large
blue | triangle | 0 | small
red | triangle | 1 | small
blue | circle | 0 | medium
green | triangle | 1 | medium","Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

blue | square | 0 | large
green | square | 1 | small
red | square | 1 | large
red | triangle | 1 | medium
red | triangle | 0 | medium
red | circle | 0 | large
green | circle | 1 | small
blue | square | 0 | large
green | square | 0 | large
yellow | circle | 1 | small
yellow | circle | 1 | small
yellow | triangle | 0 | small
red | triangle | 1 | small
red | circle | 0 | medium
red | triangle | 0 | small
blue | square | 1 | large
blue | triangle | 0 | small
red | triangle | 1 | small
blue | circle | 0 | medium
green | triangle | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | square | 0 | large
green | square | 1 | small
red | square | 1 | large
red | triangle | 1 | medium
red | triangle | 0 | medium
red | circle | 0 | large
green | circle | 1 | small
blue | square | 0 | large
green | square | 0 | large
yellow | circle | 1 | small
yellow | circle | 1 | small
yellow | triangle | 0 | small
red | triangle | 1 | small
red | circle | 0 | medium
red | triangle | 0 | small
blue | square | 1 | large
blue | triangle | 0 | small
red | triangle | 1 | small
blue | circle | 0 | medium
green | triangle | 1 | medium",5,"[4, 5, 13, 15, 18]","{""color"": ""red"", ""shape"": ""triangle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
6109,selective_attention,feature_sensitive,text,target_count,5,random,"Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | circle | 1 | large
green | circle | 0 | small
green | triangle | 0 | small
blue | square | 0 | medium
blue | triangle | 1 | small
blue | triangle | 1 | medium
blue | triangle | 1 | large
red | square | 0 | small
blue | square | 1 | medium
green | square | 0 | large
blue | triangle | 0 | medium
green | circle | 1 | small
yellow | square | 1 | small
red | circle | 0 | medium
green | circle | 1 | medium
yellow | triangle | 0 | medium
red | triangle | 0 | medium
blue | triangle | 1 | small
red | square | 1 | small
yellow | square | 0 | small","Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Do not include any extra keys
- Return only the JSON object

blue | circle | 1 | large
green | circle | 0 | small
green | triangle | 0 | small
blue | square | 0 | medium
blue | triangle | 1 | small
blue | triangle | 1 | medium
blue | triangle | 1 | large
red | square | 0 | small
blue | square | 1 | medium
green | square | 0 | large
blue | triangle | 0 | medium
green | circle | 1 | small
yellow | square | 1 | small
red | circle | 0 | medium
green | circle | 1 | medium
yellow | triangle | 0 | medium
red | triangle | 0 | medium
blue | triangle | 1 | small
red | square | 1 | small
yellow | square | 0 | small","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}.
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 1 | large
green | circle | 0 | small
green | triangle | 0 | small
blue | square | 0 | medium
blue | triangle | 1 | small
blue | triangle | 1 | medium
blue | triangle | 1 | large
red | square | 0 | small
blue | square | 1 | medium
green | square | 0 | large
blue | triangle | 0 | medium
green | circle | 1 | small
yellow | square | 1 | small
red | circle | 0 | medium
green | circle | 1 | medium
yellow | triangle | 0 | medium
red | triangle | 0 | medium
blue | triangle | 1 | small
red | square | 1 | small
yellow | square | 0 | small",5,"[5, 6, 7, 11, 18]","{""color"": ""blue"", ""shape"": ""triangle""}",20,2,5,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",3,3,0,0,0,9
