seed,difficulty,prompt,image_path,gold_label,target_shape,target_color,num_items
2000,medium,Count the red squares. Respond with a number only.,images/medium/medium_2000.png,3,square,red,16
2001,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2001.png,1,triangle,red,15
2002,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2002.png,5,triangle,red,15
2003,medium,Count the blue circles. Respond with a number only.,images/medium/medium_2003.png,3,circle,blue,15
2004,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2004.png,3,triangle,red,14
2005,medium,Count the red squares. Respond with a number only.,images/medium/medium_2005.png,4,square,red,13
2006,medium,Count the yellow triangles. Respond with a number only.,images/medium/medium_2006.png,1,triangle,yellow,13
2007,medium,Count the red circles. Respond with a number only.,images/medium/medium_2007.png,5,circle,red,16
2008,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2008.png,1,circle,yellow,13
2009,medium,Count the blue squares. Respond with a number only.,images/medium/medium_2009.png,1,square,blue,16
2010,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2010.png,2,circle,yellow,16
2011,medium,Count the blue triangles. Respond with a number only.,images/medium/medium_2011.png,2,triangle,blue,15
2012,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2012.png,2,circle,yellow,15
2013,medium,Count the red squares. Respond with a number only.,images/medium/medium_2013.png,3,square,red,16
2014,medium,Count the yellow squares. Respond with a number only.,images/medium/medium_2014.png,3,square,yellow,14
2015,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2015.png,2,triangle,red,13
2016,medium,Count the yellow triangles. Respond with a number only.,images/medium/medium_2016.png,1,triangle,yellow,15
2017,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2017.png,3,circle,yellow,15
2018,medium,Count the blue triangles. Respond with a number only.,images/medium/medium_2018.png,4,triangle,blue,13
2019,medium,Count the blue circles. Respond with a number only.,images/medium/medium_2019.png,2,circle,blue,16
