zip_path,task_name,basis_folder,modality,task_type,dimension,variant,passed,total,accuracy
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_6_default_20260415_221151.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_sonnet_4_5_20250929_20260415_221053.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,27,30,0.9
selective_attention/feature_sensitive/text/counting/anthropic_claude_sonnet_4_6_default_20260415_221113.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,28,30,0.933333
selective_attention/feature_sensitive/text/counting/deepseek_ai_deepseek_v3.2_20260415_222942.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,28,30,0.933333
selective_attention/feature_sensitive/text/counting/google_gemini_2.0_flash_20260415_220906.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/counting/google_gemini_2.5_flash_20260415_221629.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/counting/google_gemini_2.5_pro_20260415_222357.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/counting/google_gemini_3.1_pro_preview_20260416_110451.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/counting/google_gemini_3_flash_preview_20260415_215943.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/counting/openai_gpt_5.4_2026_03_05_20260415_220941.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/counting/openai_gpt_5.4_mini_2026_03_17_20260415_221955.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,28,30,0.933333
selective_attention/feature_sensitive/text/counting/qwen_qwen3_235b_a22b_instruct_2507_20260415_221942.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/counting/qwen_qwen3_next_80b_a3b_instruct_20260415_221926.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/counting/zai_glm_5_20260415_230141.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/anthropic_claude_opus_4_5_20251101_20260415_221927.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/filtering/anthropic_claude_opus_4_6_default_20260415_223621.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/anthropic_claude_sonnet_4_5_20250929_20260415_221918.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/anthropic_claude_sonnet_4_6_default_20260415_221942.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/deepseek_ai_deepseek_v3.2_20260415_223045.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,24,30,0.8
selective_attention/feature_sensitive/text/filtering/google_gemini_2.0_flash_20260415_222019.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/google_gemini_2.5_flash_20260415_222547.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/google_gemini_2.5_pro_20260415_223714.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/google_gemini_3.1_pro_preview_20260416_110736.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/google_gemini_3_flash_preview_20260415_220253.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/openai_gpt_5.4_2026_03_05_20260415_221731.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/openai_gpt_5.4_mini_2026_03_17_20260415_221825.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/text/filtering/qwen_qwen3_235b_a22b_instruct_2507_20260415_222004.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,27,30,0.9
selective_attention/feature_sensitive/text/filtering/qwen_qwen3_next_80b_a3b_instruct_20260415_222459.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,26,30,0.866667
selective_attention/feature_sensitive/text/filtering/zai_glm_5_20260415_230330.log,selective attention - feature sensitive text filtering,feature_sensitive,text,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/anthropic_claude_opus_4_5_20251101_20260415_231831.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,27,30,0.9
selective_attention/feature_sensitive/visual/counting/anthropic_claude_opus_4_6_default_20260415_231913.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/anthropic_claude_sonnet_4_5_20250929_20260415_233344.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/anthropic_claude_sonnet_4_6_default_20260415_233418.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,28,30,0.933333
selective_attention/feature_sensitive/visual/counting/deepseek_ai_deepseek_v3.2_20260415_233618.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,2,30,0.066667
selective_attention/feature_sensitive/visual/counting/google_gemini_2.0_flash_20260415_233323.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,28,30,0.933333
selective_attention/feature_sensitive/visual/counting/google_gemini_2.5_flash_20260415_232027.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/visual/counting/google_gemini_2.5_pro_20260415_232543.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/google_gemini_3.1_pro_preview_20260416_110002.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/google_gemini_3_flash_preview_20260415_225439.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/openai_gpt_5.4_2026_03_05_20260415_231749.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/counting/openai_gpt_5.4_mini_2026_03_17_20260415_233244.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/visual/counting/qwen_qwen3_235b_a22b_instruct_2507_20260415_233405.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,0,30,0.0
selective_attention/feature_sensitive/visual/counting/qwen_qwen3_next_80b_a3b_instruct_20260415_233356.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,0,30,0.0
selective_attention/feature_sensitive/visual/counting/zai_glm_5_20260416_005001.log,selective attention - feature sensitive visual counting,feature_sensitive,visual,counting,baseline,baseline,6,30,0.2
selective_attention/feature_sensitive/visual/filtering/anthropic_claude_opus_4_5_20251101_20260415_224130.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/anthropic_claude_opus_4_6_default_20260415_224151.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/anthropic_claude_sonnet_4_5_20250929_20260415_224931.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,27,30,0.9
selective_attention/feature_sensitive/visual/filtering/anthropic_claude_sonnet_4_6_default_20260415_225014.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/deepseek_ai_deepseek_v3.2_20260415_224703.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,0,30,0.0
selective_attention/feature_sensitive/visual/filtering/google_gemini_2.0_flash_20260415_224309.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/visual/filtering/google_gemini_2.5_flash_20260415_224233.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/google_gemini_2.5_pro_20260415_224901.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/google_gemini_3.1_pro_preview_20260416_105458.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/google_gemini_3_flash_preview_20260415_222930.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
selective_attention/feature_sensitive/visual/filtering/openai_gpt_5.4_2026_03_05_20260415_224000.log,selective attention - feature sensitive visual filtering,feature_sensitive,visual,filtering,baseline,baseline,30,30,1.0
