zip_path,task_name,basis_folder,modality,task_type,dimension,variant,passed,total,accuracy
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,adversarial_confound,dense,16,30,0.533333
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,adversarial_confound,extreme,15,30,0.5
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,baseline,baseline,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,combined,easy,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,combined,hard,18,30,0.6
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,combined,medium,28,30,0.933333
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,confound,extreme,23,30,0.766667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,confound,high,26,30,0.866667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,confound,low,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,confound,medium,25,30,0.833333
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,disjunction,easy,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,disjunction,hard,14,30,0.466667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,negation,easy,26,30,0.866667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,negation,hard,17,30,0.566667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,noise_width,n0,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,noise_width,n1,28,30,0.933333
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,noise_width,n2,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,position,back_loaded,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,position,clustered,24,30,0.8
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,position,front_loaded,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,position,random,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,rule_arity,1f,27,30,0.9
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,rule_arity,2f,27,30,0.9
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,rule_arity,3f,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,rule_arity,4f,26,30,0.866667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,set_size,l,25,30,0.833333
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,set_size,m,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,set_size,s,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,set_size,xl,27,30,0.9
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,set_size,xs,29,30,0.966667
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,set_size,xxl,28,30,0.933333
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,target_count,0,30,30,1.0
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,feature_sensitive,text,counting,target_count,1,30,30,1.0
